MAE,RMSE,SFN,MAPE
132.86804,179.24077,1.0201712,0.39850563
94.461784,141.29193,1.1423464,0.2525237
72.20919,113.80663,0.84625375,0.19188978
73.70877,119.44948,0.85983634,0.1899294
80.33022,125.653694,0.86496925,0.19364166
76.58468,122.86648,0.84147954,0.18639718
75.91497,115.75777,0.87074196,0.20991273
100.35826,150.53476,0.93284094,0.2989712
88.36518,132.07304,0.9176308,0.24129193
79.60366,119.53345,0.8437439,0.22990137
110.26603,161.72292,0.9972804,0.3279795
85.02099,131.08093,0.9512453,0.25462988
78.93608,120.81627,0.8584111,0.22506668
78.344284,127.30555,0.8644079,0.20001459
120.20581,184.73384,0.990479,0.27072892
82.421394,126.02867,0.85416543,0.20851944
90.82206,140.07645,0.8953086,0.2647091
102.002106,155.06055,0.91614056,0.24235304
83.10468,126.14923,0.886449,0.21151063
93.33828,146.08311,0.91648644,0.2172501
191.57666,240.43541,1.1961052,0.5943558
87.58919,134.3268,1.0590999,0.24586621
72.94769,109.87697,0.8243126,0.20443654
73.82562,115.31668,0.83009744,0.18416466
73.04208,108.01557,0.86934054,0.18952931
100.80553,144.68274,1.0004586,0.28498292
105.697525,152.1025,1.0264492,0.3209677
95.05194,136.07713,0.8810621,0.28704575
83.42227,123.652214,0.8655417,0.23082203
76.17863,118.154854,0.8343196,0.20047748
80.37489,117.21749,0.85208404,0.22299153
88.31542,130.0116,0.9998534,0.22654013
97.64995,132.9096,0.92125976,0.29696745
85.48105,121.79422,0.88063973,0.22643854
121.51156,169.36438,1.047879,0.31554472
109.62511,148.76076,1.0014877,0.3225907
112.252235,160.6901,1.0030372,0.3114979
87.3096,131.85841,0.87309647,0.23773994
84.809906,126.06743,0.8666918,0.23429063
74.24953,115.685074,0.84046566,0.1926551
96.71695,136.54874,0.9162464,0.28644386
113.22097,165.3845,1.3232322,0.29279634
79.623924,112.82863,0.8278377,0.24186808
93.69666,160.28069,1.006877,0.21158117
127.442825,188.10841,1.017169,0.29685873
80.91134,127.595375,0.8502259,0.19181688
141.4789,238.06956,1.4133908,0.3256974
135.95995,183.99356,0.9923531,0.36466333
97.62002,153.95335,0.92549175,0.29429516
90.54864,125.72898,0.8661876,0.28299484
76.51949,121.24613,0.85857046,0.1915593
118.83055,174.87247,1.3926598,0.31158975
78.07304,118.61966,0.844841,0.22004306
93.348526,136.14442,0.93819666,0.25511903
79.31676,119.87098,0.8369957,0.22532788
88.94957,134.66878,0.9090166,0.24701594
108.20434,155.68506,1.0112231,0.31324518
97.90894,138.76399,0.91373193,0.28706288
84.7377,129.68945,0.88018906,0.20998374
89.71352,149.46555,0.9318025,0.21027857
176.5252,254.7795,1.3906572,0.48355514
87.67539,136.76718,1.0804796,0.25441742
78.9978,122.88193,0.88213027,0.20407796
77.63054,119.4562,0.85735285,0.21334139
132.13853,208.96547,1.128995,0.28497255
82.875206,127.07843,0.88934666,0.20610453
108.16796,150.39551,0.95590395,0.3300137
86.87322,129.04327,0.8823946,0.24716355
103.96165,160.15244,0.94804645,0.28096405
107.032234,178.65913,1.004354,0.22608463
266.24377,320.65265,1.4817317,0.8865447
108.44673,172.92488,1.0251625,0.28888792
94.13416,148.68471,0.93583804,0.21609367
86.12671,140.61339,0.9447136,0.21298485
86.077286,128.23616,0.92459464,0.21652976
79.81933,116.700615,0.87338436,0.23125571
85.53766,143.0798,0.9459733,0.1945394
78.83003,123.7105,0.8794271,0.19066459
