MAE,MSE,SFN,MAPE
15.265767,23.41939,0.00017561766,0.10821767
10.43433,15.836828,0.00015567747,0.08591994
14.292638,21.336605,0.00016672366,0.1062702
9.15807,14.622643,0.00015707921,0.074053854
15.055579,22.34749,0.00016759454,0.114228815
16.377285,23.194296,0.0001786226,0.1377518
15.474659,22.98077,0.00017744709,0.11380315
37.633846,55.65145,0.00033750254,0.24474904
13.448534,21.246109,0.0001697476,0.10333717
24.065811,32.26966,0.00019222261,0.20547777
13.788038,21.263966,0.0001695247,0.10213231
16.297577,25.16123,0.00020771266,0.11733137
17.145943,25.50859,0.00018186047,0.13638301
16.813847,24.522606,0.00023337321,0.13657522
18.777325,27.72392,0.00018602036,0.13526928
24.388248,34.78906,0.00023138207,0.18083285
15.6435795,23.569153,0.00017499492,0.11789452
49.886997,63.54642,0.00038628237,0.4040303
15.68264,23.601358,0.00017499858,0.1181671
52.446648,65.35073,0.0003639275,0.43690008
12.909524,20.128305,0.00016879589,0.10308307
29.18753,37.94492,0.00024569142,0.247399
14.957826,22.16041,0.00016931901,0.11616417
27.535051,38.435215,0.00025232317,0.20700404
16.519604,25.431366,0.00018067745,0.12036298
43.975838,62.188904,0.00047183834,0.31026307
19.733929,28.902187,0.00019349263,0.14597595
68.08431,88.810234,0.00060206937,0.5308974
16.187088,23.607656,0.00017221786,0.12785025
56.362556,73.95099,0.00049471715,0.4375734
16.105457,23.7344,0.00017621224,0.12543683
48.3833,61.424637,0.00034575784,0.39205283
15.178693,22.843178,0.0001754935,0.12176056
28.645344,40.08964,0.00031006354,0.22094443
16.8737,24.913933,0.00017855012,0.12654035
35.881863,48.838726,0.00029614067,0.27862588
14.484375,23.825453,0.00018199356,0.09899565
36.41012,46.18831,0.00027637283,0.30144978
17.862974,28.281189,0.00020718202,0.1380079
20.482632,28.492622,0.00020506608,0.17440799
16.853584,24.30935,0.0001712454,0.13101655
24.277786,32.71264,0.00021771276,0.19845673
17.14272,24.341457,0.00017227666,0.1356859
17.860178,25.296867,0.0001902415,0.14292714
16.833252,24.093145,0.0001718124,0.13382219
18.368933,26.268057,0.00019857884,0.14435324
18.18886,25.830334,0.00017950727,0.14079294
23.895712,32.911053,0.0002145219,0.19142905
15.653754,24.431942,0.0001855801,0.12224032
11.559333,17.62338,0.0001787146,0.10336611
19.153698,27.252645,0.00018437473,0.14422795
14.45292,19.712002,0.00019178691,0.13932917
17.66645,24.392044,0.00018080646,0.13618633
10.915435,18.536396,0.0001839741,0.082680896
9.5735035,15.222709,0.00016229221,0.07323208
10.543763,16.328918,0.00017286834,0.100623496
10.5835905,16.423887,0.0001593092,0.08188599
11.308461,18.087639,0.00018326679,0.089251615
13.345518,21.611853,0.00017519563,0.10196129
10.587046,16.113758,0.00016609841,0.09446995
12.4134245,20.379208,0.00016878298,0.09330565
15.39352,20.072386,0.00017857274,0.15318832
13.814688,20.138382,0.00016779003,0.106577694
15.019472,27.216887,0.00020624523,0.09283068
10.931191,16.770006,0.00016153323,0.085236825
10.477786,18.847519,0.00017255945,0.07541427
10.571269,16.796928,0.00016542494,0.08118745
10.046498,15.696042,0.00017298381,0.08520969
11.516362,19.522772,0.00016785423,0.08273797
17.235401,22.683704,0.00018590766,0.15924917
11.87312,19.106617,0.00016522814,0.089356035
10.903816,18.934015,0.00017947887,0.09088641
9.870632,18.040985,0.00017316417,0.073264085
14.959006,20.932364,0.00017832137,0.12879302
9.793703,16.78395,0.00016688465,0.0754517
14.553215,19.958622,0.00017286043,0.13573797
10.098541,18.222212,0.00016936884,0.07210392
9.918308,17.035234,0.00018162097,0.078683965
19.081526,27.644175,0.00019008973,0.14269234
16.946047,22.641296,0.00017850254,0.1590496
11.35207,18.86098,0.00016927521,0.08791715
27.116625,32.47743,0.00020061817,0.26090848
10.105034,16.977545,0.00016577874,0.07745768
17.89354,22.591568,0.00018184967,0.1812038
11.2367,18.674217,0.00016530143,0.08515121
20.564297,26.487875,0.00018667606,0.1891839
10.296796,18.707834,0.00017596378,0.07704597
25.120924,31.87252,0.0002094659,0.22420181
10.822662,20.528753,0.00018358674,0.07619665
35.66784,45.711006,0.00026187705,0.29803747
15.506763,23.047417,0.000178607,0.12103474
31.137362,38.6204,0.00022576388,0.28752103
12.788865,20.650051,0.0001702991,0.09553347
38.109566,49.57191,0.00029228994,0.3179171
10.535435,19.186735,0.00017944044,0.07865955
60.677376,79.69599,0.0005396631,0.46008867
11.439347,19.535986,0.00017615515,0.08502071
34.45776,41.308075,0.00023340958,0.322207
11.4198675,18.792322,0.0001702261,0.090232246
33.40618,41.622124,0.00024017254,0.28974056
13.529164,22.052921,0.0001768947,0.103891514
29.264595,37.007324,0.00022374208,0.25606987
15.998583,23.202202,0.00017314436,0.1287825
30.64604,38.202545,0.00022523412,0.27042612
12.454717,21.131111,0.00018275059,0.09685877
30.377237,38.146553,0.00022322123,0.26525855
19.524164,27.700218,0.00019342148,0.15368247
23.18324,28.891273,0.00019716044,0.22332093
10.622223,18.376991,0.00017252228,0.081994146
31.359777,39.894005,0.0002281028,0.27259046
16.986977,25.20829,0.00018146078,0.1289196
16.612082,21.465393,0.00019281518,0.16313614
10.507705,17.001556,0.00016765294,0.0817926
12.125326,21.981934,0.00020090016,0.09986068
9.789282,16.49084,0.0001635455,0.07704758
15.461633,20.112265,0.00017487489,0.15042257
10.941197,18.750462,0.00017377085,0.08466754
14.499078,18.605497,0.0001706845,0.14748448
13.888077,21.508482,0.00017131874,0.102620356
15.220921,19.950136,0.00017955349,0.15652567
13.328139,20.49255,0.0001697399,0.10455279
